"customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","segment_type","base_plan","technology","monthly_charge","promo_discount","arpu","churn_risk_score"
"6572-ADKRS","Female",0,"No","No",46,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.8,3548.3,"No","Consumer","Basic","Cable",24.95,0,24.95,0.195223297527991
"5380-WJKOV","Male",0,"No","No",34,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.35,3549.25,"Yes","SMB","Plus","Cable",57.95,0,57.95,0.838697730749846
"8168-UQWWF","Female",0,"No","No",11,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",97.85,1105.4,"Yes","SMB","Basic","Cable",24.95,0,24.95,0.644730343483388
"8865-TNMNX","Male",0,"Yes","Yes",10,"Yes","No","DSL","No","Yes","No","No","No","No","One year","No","Mailed check",49.55,475.7,"No","Enterprise","Premium","Fiber",70,0,70,0.190481940179598
"9489-DEDVP","Female",0,"Yes","Yes",70,"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Credit card (automatic)",69.2,4872.35,"No","Enterprise","Plus","Cable",57.95,0,57.95,0.13096142008435
"9867-JCZSP","Female",0,"Yes","Yes",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.75,418.25,"No","Consumer","Basic","Cable",24.95,0,24.95,0.261680305947084
"4671-VJLCL","Female",0,"No","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",79.85,4861.45,"No","Consumer","Premium","Fiber",70,0,70,0.190717887377832
"4080-IIARD","Female",0,"Yes","No",13,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",76.2,981.45,"No","SMB","Premium","Fiber",70,0,70,0.0781669448595494
"3714-NTNFO","Female",0,"No","No",49,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.5,3906.7,"No","SMB","Premium","Fiber",70,0,70,0.126078670390416
"5948-UJZLF","Male",0,"No","No",2,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",49.25,97,"No","SMB","Premium","Fiber",70,0,70,0.230685484607238
"7760-OYPDY","Female",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.65,144.15,"Yes","SMB","Basic","Cable",24.95,0,24.95,0.740659402590245
"7639-LIAYI","Male",0,"No","No",52,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",79.75,4217.8,"No","SMB","Basic","Cable",24.95,0,24.95,0.290111046587117
"2954-PIBKO","Female",0,"Yes","Yes",69,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",64.15,4254.1,"No","Enterprise","Basic","Cable",24.95,0,24.95,0.140958443877753
"8012-SOUDQ","Female",1,"No","No",43,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.25,3838.75,"No","SMB","Basic","Cable",24.95,0,24.95,0.238433124159928
"9420-LOJKX","Female",0,"No","No",15,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.1,1426.4,"Yes","Consumer","Basic","Cable",24.95,0,24.95,0.77637716177851
"6575-SUVOI","Female",1,"Yes","No",25,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",69.5,1752.65,"No","SMB","Premium","Fiber",70,0,70,0.066228343883995
"7495-OOKFY","Female",1,"Yes","No",8,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",80.65,633.3,"Yes","Enterprise","Premium","Fiber",70,0,70,0.83405125848949
"4667-QONEA","Female",1,"Yes","Yes",60,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",74.85,4456.35,"No","SMB","Basic","Cable",24.95,0,24.95,0.140380158217158
"1658-BYGOY","Male",1,"No","No",18,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,1752.55,"Yes","SMB","Plus","Cable",57.95,0,57.95,0.788803572766483
"8769-KKTPH","Female",0,"Yes","Yes",63,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",99.65,6311.2,"No","SMB","Basic","Cable",24.95,0,24.95,0.200647961068898
"5067-XJQFU","Male",1,"Yes","Yes",66,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",108.45,7076.35,"No","Consumer","Plus","Cable",57.95,0,57.95,0.133742054179311
"3957-SQXML","Female",0,"Yes","Yes",34,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",24.95,894.3,"No","Consumer","Basic","Cable",24.95,0,24.95,0.0507465975359082
"5954-BDFSG","Female",0,"No","No",72,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",107.5,7853.7,"No","Consumer","Premium","Fiber",70,0,70,0.290138695924543
"0434-CSFON","Female",0,"Yes","No",47,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.5,4707.1,"No","Enterprise","Basic","Cable",24.95,0,24.95,0.141458105947822
"1215-FIGMP","Male",0,"No","No",60,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",89.9,5450.7,"No","Consumer","Plus","Cable",57.95,0,57.95,0.0595002432353795
"0526-SXDJP","Male",0,"Yes","No",72,"No","No phone service","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Bank transfer (automatic)",42.1,2962,"No","SMB","Plus","Cable",57.95,0,57.95,0.262071140587796
"0557-ASKVU","Female",0,"Yes","Yes",18,"Yes","No","DSL","No","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",54.4,957.1,"No","Consumer","Premium","Fiber",70,0,70,0.110713095183019
"5698-BQJOH","Female",0,"No","No",9,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",94.4,857.25,"Yes","Consumer","Plus","Cable",57.95,0,57.95,0.739461021963507
"5122-CYFXA","Female",0,"No","No",3,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",75.3,244.1,"No","Consumer","Premium","Fiber",70,0,70,0.264906137203798
"8627-ZYGSZ","Male",0,"Yes","No",47,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","One year","Yes","Electronic check",78.9,3650.35,"No","Enterprise","Premium","Fiber",70,0,70,0.12115395180881
"3410-YOQBQ","Female",0,"No","No",31,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",79.2,2497.2,"No","Enterprise","Plus","Cable",57.95,0,57.95,0.172847171209287
"3170-NMYVV","Female",0,"Yes","Yes",50,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.15,930.9,"No","Consumer","Basic","Cable",24.95,0,24.95,0.213394516159315
"7410-OIEDU","Male",0,"No","No",10,"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",79.85,887.35,"No","Consumer","Premium","Fiber",70,0,70,0.0678383105085231
"2273-QCKXA","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",49.05,49.05,"No","SMB","Basic","Cable",24.95,0,24.95,0.212065183336381
"0731-EBJQB","Female",0,"Yes","Yes",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check",20.4,1090.65,"No","Consumer","Plus","Cable",57.95,0,57.95,0.186244399298448
"1891-QRQSA","Male",1,"Yes","Yes",64,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",111.6,7099,"No","SMB","Basic","Cable",24.95,0,24.95,0.101313723728526
"8028-PNXHQ","Male",0,"Yes","Yes",62,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",24.25,1424.6,"No","SMB","Plus","Cable",57.95,0,57.95,0.114477116568014
"5630-AHZIL","Female",0,"No","Yes",3,"Yes","No","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",64.5,177.4,"No","SMB","Plus","Cable",57.95,0,57.95,0.0738766882102937
"2673-CXQEU","Female",1,"No","No",56,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","No","Electronic check",110.5,6139.5,"No","Consumer","Premium","Fiber",70,0,70,0.157205994136166
"6416-JNVRK","Female",0,"No","No",46,"Yes","No","DSL","No","No","No","No","No","Yes","One year","No","Credit card (automatic)",55.65,2688.85,"No","SMB","Premium","Fiber",70,0,70,0.242151588038541
"5590-ZSKRV","Female",0,"Yes","Yes",8,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Mailed check",54.65,482.25,"No","Consumer","Premium","Fiber",70,0,70,0.185767017141916
"0191-ZHSKZ","Male",1,"No","No",30,"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",74.75,2111.3,"No","SMB","Premium","Fiber",70,0,70,0.291293916245922
"3887-PBQAO","Female",0,"Yes","Yes",45,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",25.9,1216.6,"No","Enterprise","Basic","Cable",24.95,0,24.95,0.0622462263097987
"5919-TMRGD","Female",0,"No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.35,79.35,"Yes","Consumer","Plus","Cable",57.95,0,57.95,0.536820634175092
"8108-UXRQN","Female",0,"Yes","Yes",11,"No","No phone service","DSL","Yes","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",50.55,565.35,"No","Consumer","Premium","Fiber",70,0,70,0.267381169088185
"9191-MYQKX","Female",0,"Yes","No",7,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.15,496.9,"Yes","Enterprise","Basic","Cable",24.95,0,24.95,0.621447876468301
"9919-YLNNG","Female",0,"No","No",42,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.8,4327.5,"No","SMB","Plus","Cable",57.95,0,57.95,0.117246595222969
"0318-ZOPWS","Female",0,"Yes","No",49,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",20.15,973.35,"No","SMB","Plus","Cable",57.95,0,57.95,0.2650382444961
"4445-ZJNMU","Male",0,"No","No",9,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.3,918.75,"No","Enterprise","Premium","Fiber",70,0,70,0.298466526682023
"4808-YNLEU","Female",0,"Yes","No",35,"Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Bank transfer (automatic)",62.15,2215.45,"No","Consumer","Premium","Fiber",70,0,70,0.182837875396945
"1862-QRWPE","Female",0,"Yes","Yes",48,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.65,1057,"No","Consumer","Plus","Cable",57.95,0,57.95,0.180190619500354
"2796-NNUFI","Female",0,"Yes","Yes",46,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",19.95,927.1,"No","SMB","Basic","Cable",24.95,0,24.95,0.199245120119303
"3016-KSVCP","Male",0,"Yes","No",29,"No","No phone service","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",33.75,1009.25,"No","Enterprise","Premium","Fiber",70,0,70,0.17702825042652
"4767-HZZHQ","Male",0,"Yes","Yes",30,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",82.05,2570.2,"No","SMB","Plus","Cable",57.95,0,57.95,0.122175164357759
"2424-WVHPL","Male",1,"No","No",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",74.7,74.7,"No","Consumer","Plus","Cable",57.95,0,57.95,0.102317131368909
"7233-PAHHL","Male",0,"Yes","Yes",66,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check",84,5714.25,"No","Consumer","Basic","Cable",24.95,0,24.95,0.166355473524891
"6067-NGCEU","Female",0,"No","No",65,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",111.05,7107,"No","Consumer","Plus","Cable",57.95,0,57.95,0.196453964349348
"9848-JQJTX","Male",0,"No","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",100.9,7459.05,"No","Consumer","Plus","Cable",57.95,0,57.95,0.2889593605767
"8637-XJIVR","Female",0,"No","No",12,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",78.95,927.35,"Yes","Consumer","Basic","Cable",24.95,0,24.95,0.786796015128493
"9803-FTJCG","Male",0,"Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",66.85,4748.7,"No","SMB","Premium","Fiber",70,0,70,0.293906636897009
"0278-YXOOG","Male",0,"No","No",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",21.05,113.85,"Yes","Enterprise","Basic","Cable",24.95,0,24.95,0.690549906529486
"3212-KXOCR","Male",0,"No","No",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",21,1107.2,"No","Consumer","Basic","Cable",24.95,0,24.95,0.269631268060766
"4598-XLKNJ","Female",1,"Yes","No",25,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.5,2514.5,"Yes","SMB","Basic","Cable",24.95,0,24.95,0.768121846020222
"6380-ARCEH","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.2,20.2,"No","Consumer","Premium","Fiber",70,0,70,0.299968835385516
"3679-XASPY","Female",0,"Yes","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",19.45,19.45,"No","Enterprise","Basic","Cable",24.95,0,24.95,0.254107543744612
"7123-WQUHX","Male",0,"No","No",38,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",95,3605.6,"No","SMB","Premium","Fiber",70,0,70,0.298755723412614
"5386-THSLQ","Female",1,"Yes","No",66,"No","No phone service","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",45.55,3027.25,"No","Consumer","Premium","Fiber",70,0,70,0.229753488569986
"3192-NQECA","Male",0,"Yes","No",68,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",110,7611.85,"Yes","Consumer","Basic","Cable",24.95,0,24.95,0.894937696866691
"6180-YBIQI","Male",0,"No","No",5,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",24.3,100.2,"No","SMB","Premium","Fiber",70,0,70,0.290289237000979
"6728-DKUCO","Female",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","One year","Yes","Electronic check",104.15,7303.05,"No","Consumer","Premium","Fiber",70,0,70,0.126042133441661
"9750-BOOHV","Female",0,"No","No",32,"No","No phone service","DSL","Yes","No","No","No","No","No","One year","No","Mailed check",30.15,927.65,"No","Consumer","Plus","Cable",57.95,0,57.95,0.293239704810549
"8597-CWYHH","Male",0,"No","No",43,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","One year","No","Mailed check",94.35,3921.3,"No","Enterprise","Plus","Cable",57.95,0,57.95,0.145146635372657
"2848-YXSMW","Male",0,"Yes","Yes",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.4,1363.25,"No","SMB","Premium","Fiber",70,0,70,0.259752179274801
"0486-HECZI","Male",0,"Yes","No",55,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",96.75,5238.9,"Yes","Enterprise","Basic","Cable",24.95,0,24.95,0.798329866025597
"4549-ZDQYY","Female",0,"No","No",52,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Credit card (automatic)",57.95,3042.25,"No","SMB","Premium","Fiber",70,0,70,0.137760363996495
"5712-AHQNN","Female",0,"No","No",43,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",91.65,3954.1,"No","SMB","Plus","Cable",57.95,0,57.95,0.239456737833098
"4846-WHAFZ","Female",1,"Yes","No",37,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.5,2868.15,"Yes","Consumer","Plus","Cable",57.95,0,57.95,0.741832354851067
"5256-SKJGO","Female",0,"Yes","Yes",64,"No","No phone service","DSL","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Electronic check",54.6,3423.5,"No","Enterprise","Premium","Fiber",70,0,70,0.239323638915084
"3071-VBYPO","Male",0,"Yes","Yes",3,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",89.85,248.4,"No","Consumer","Basic","Cable",24.95,0,24.95,0.222023604856804
"9560-BBZXK","Female",0,"No","No",36,"No","No phone service","DSL","Yes","No","No","No","No","No","Two year","No","Bank transfer (automatic)",31.05,1126.35,"No","Consumer","Basic","Cable",24.95,0,24.95,0.169436656939797
"5299-RULOA","Female",0,"Yes","Yes",10,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.25,1064.65,"Yes","Consumer","Premium","Fiber",70,0,70,0.572248697653413
