Provider,State,Weight,Technology,Download Bandwidth Mbps,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread,Model Data
"RCN Telecom Services of Massachusetts, LLC",MASSACHUSETTS,10841.2125,Cable,1500,20,Inf,175.99,0,12.97,188.96,0,Yes
"T-Mobile USA, Inc.",MASSACHUSETTS,3544.66875,Fixed wireless,2,0.2,300,152.5,0,1.4,153.9,5,Yes
"T-Mobile USA, Inc.",MASSACHUSETTS,3544.66875,Fixed wireless,2,0.2,300,152.5,0,1.4,153.9,5,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
Michigan Bell Telephone Company,MICHIGAN,29618.84846,DSL,75,20,1024,70,0,0,70,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
Michigan Bell Telephone Company,MICHIGAN,29618.84846,DSL,50,10,1024,70,0,0,70,0,Yes
Michigan Bell Telephone Company,MICHIGAN,29618.84846,DSL,25,5,1024,70,0,0,70,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99,0,1,100,0,Yes
"Buckeye Cablevision, Inc.",MICHIGAN,12973.58782,Cable,1000,10,Inf,139.99,0,0,139.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
Michigan Bell Telephone Company,MICHIGAN,148094.2423,Fiber,5000,5000,Inf,255,0,0,255,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,1200,35,1229,122,0,0,122,0,Yes
Cellco Partnership,MICHIGAN,43105.95,Fixed wireless,300,20,Inf,60,0,0,60,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,200,10,1229,82,0,0,82,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,200,100,1229,82,0,0,82,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,400,100,1229,92,0,0,92,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,75,10,1229,62,0,0,62,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
Cellco Partnership,MICHIGAN,43105.95,Fixed wireless,50,5,Inf,60,0,0,60,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,400,10,1229,92,0,0,92,0,Yes
Michigan Bell Telephone Company,MICHIGAN,148094.2423,Fiber,1000,1000,Inf,85,0,0,85,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Point Broadband Fiber Holding, LLC",MICHIGAN,12973.58782,Fiber,300,300,Inf,84.95,0,10,94.95,20,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
Michigan Bell Telephone Company,MICHIGAN,29618.84846,DSL,10,1,1024,70,0,0,70,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Charter Communications, Inc.",MICHIGAN,260531.3,Cable,500,20,Inf,99.99,0,0,99.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Charter Communications, Inc.",MICHIGAN,260531.3,Cable,300,10,Inf,79.99,0,0,79.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
Michigan Bell Telephone Company,MICHIGAN,29618.84846,DSL,25,5,1024,70,0,0,70,0,Yes
"Charter Communications, Inc.",MICHIGAN,260531.3,Cable,1000,35,Inf,119.99,0,0,119.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,1000,100,1229,112,0,0,112,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,1000,20,1229,112,0,0,112,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,200,102.5,0,1.4,103.9,5,Yes
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,200,102.5,0,1.4,103.9,5,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,75,75,1229,62,0,0,62,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Buckeye Cablevision, Inc.",MICHIGAN,12973.58782,Cable,600,10,Inf,109.99,0,0,109.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
Michigan Bell Telephone Company,MICHIGAN,29618.84846,DSL,75,20,1024,70,0,0,70,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,1200,200,1229,122,0,0,122,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,800,20,1229,102,0,0,102,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,317841.6125,Fiber,10000,10000,Inf,299.95,0,0,299.95,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
Michigan Bell Telephone Company,MICHIGAN,29618.84846,DSL,50,10,1024,70,0,0,70,0,Yes
Michigan Bell Telephone Company,MICHIGAN,29618.84846,DSL,100,20,Inf,70,0,0,70,0,Yes
Michigan Bell Telephone Company,MICHIGAN,148094.2423,Fiber,1000,1000,Inf,85,0,0,85,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,1000,100,1229,112,0,0,112,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",MICHIGAN,317841.6125,Cable,400,10,1229,92,0,0,92,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",MICHIGAN,317841.6125,Cable,75,10,1229,62,0,0,62,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",MICHIGAN,317841.6125,Cable,800,20,1229,102,0,0,102,0,Yes
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,150,77.5,0,1.4,78.9,5,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
Michigan Bell Telephone Company,MICHIGAN,148094.2423,Fiber,5000,5000,Inf,255,0,0,255,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
Michigan Bell Telephone Company,MICHIGAN,148094.2423,Fiber,1000,1000,Inf,85,0,0,85,0,Yes
"Charter Communications, Inc.",MICHIGAN,260531.3,Cable,1000,35,Inf,119.99,0,0,119.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,800,100,1229,102,0,0,102,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,400,100,1229,92,0,0,92,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,75,10,1229,62,0,0,62,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,75,75,1229,62,0,0,62,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,1000,20,1229,112,0,0,112,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"MetroNet Holdings, LLC",MICHIGAN,12973.58782,Fiber,1000,1000,Inf,64.95,0,12,76.95,10,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",MICHIGAN,317841.6125,Cable,1200,35,1229,122,0,0,122,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",MICHIGAN,317841.6125,Cable,200,10,1229,82,0,0,82,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,150,77.5,0,1.4,78.9,5,Yes
"T-Mobile USA, Inc.",MICHIGAN,2363.1125,Fixed wireless,2,0.2,100,52.5,0,1.4,53.9,5,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,200,10,Inf,49.99,0,1,50.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1200,50,Inf,99.99,0,1,100.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
Michigan Bell Telephone Company,MICHIGAN,29618.84846,DSL,100,20,Inf,70,0,0,70,0,Yes
Michigan Bell Telephone Company,MICHIGAN,29618.84846,DSL,10,1,1024,70,0,0,70,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Charter Communications, Inc.",MICHIGAN,260531.3,Cable,300,10,Inf,79.99,0,0,79.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,317841.6125,Fiber,10000,10000,Inf,299.95,0,0,299.95,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,100,10,Inf,44.99,0,1,45.99,0,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,200,10,1229,82,0,0,82,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,150,77.5,0,1.4,78.9,5,Yes
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,150,77.5,0,1.4,78.9,5,Yes
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,200,102.5,0,1.4,103.9,5,Yes
"Comcast Cable Communications, LLC",MICHIGAN,158920.8063,Cable,800,100,1229,102,0,0,102,0,Yes
Michigan Bell Telephone Company,MICHIGAN,29618.84846,DSL,100,20,Inf,70,0,0,70,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,50,5,Inf,24.99,0,1,25.99,0,Yes
"Knology of Alabama, Inc.",MICHIGAN,10304.175,Cable,500,50,Inf,59.99,0,1,60.99,0,Yes
"Knology Total Communications, Inc.",MICHIGAN,10304.175,Cable,1000,50,Inf,79.99,0,1,80.99,0,Yes
"COMCAST CABLE COMMUNICATIONS, LLC",MICHIGAN,317841.6125,Cable,1000,20,1229,112,0,0,112,0,Yes
"Buckeye Cablevision, Inc.",MICHIGAN,12973.58782,Cable,1000,10,Inf,139.99,0,0,139.99,0,Yes
"T-Mobile USA, Inc.",MICHIGAN,3544.66875,Fixed wireless,2,0.2,300,152.5,0,1.4,153.9,5,Yes
