customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1895-QTKDO,Female,false,false,false,1,true,No,DSL,No,No,No,No,No,No,Month-to-month,false,Credit card (automatic),43.95,43.95,false
0999-QXNSA,Male,true,false,true,7,true,No,DSL,No,No,No,No,No,No,Month-to-month,true,Mailed check,45.75,344.2,false
1501-SGHBW,Male,false,false,false,2,true,No,DSL,No,No,No,No,No,No,Month-to-month,false,Mailed check,45.85,81,true
0322-YINQP,Male,false,false,false,1,true,No,DSL,Yes,No,No,No,No,No,Month-to-month,true,Mailed check,48.55,48.55,true
8348-HFYIV,Male,false,false,false,2,false,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,true,Electronic check,49.25,90.35,true
7312-XSBAT,Male,false,false,false,1,true,No,DSL,Yes,No,No,No,No,No,Month-to-month,false,Electronic check,49.75,49.75,false
0440-QEXBZ,Female,false,false,false,44,true,Yes,DSL,No,No,No,No,No,No,Month-to-month,true,Mailed check,50.15,2139.1,false
6905-NIQIN,Male,false,false,false,1,true,No,DSL,No,Yes,No,No,No,No,Month-to-month,false,Mailed check,50.65,50.65,true
5639-NTUPK,Male,false,false,true,13,true,No,DSL,Yes,No,No,No,No,No,Month-to-month,true,Credit card (automatic),52.1,670.65,false
1251-KRREG,Male,false,false,false,2,true,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,true,Mailed check,54.4,114.1,true
5151-HQRDG,Male,false,true,false,37,true,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,true,Mailed check,55.05,2030.75,false
8498-XXGWA,Female,false,true,false,65,true,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,true,Mailed check,55.15,3673.15,false
2911-UREFD,Female,false,true,false,39,false,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,false,Electronic check,55.9,2184.35,true
6207-WIOLX,Female,false,true,true,25,false,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,true,Credit card (automatic),58.6,1502.65,true
0319-QZTCO,Female,false,true,true,3,true,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,true,Credit card (automatic),58.7,168.6,false
8399-YNDCH,Male,true,false,false,21,true,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,true,Bank transfer (automatic),60.05,1236.15,true
8847-GEOOQ,Male,false,true,false,60,false,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,true,Bank transfer (automatic),60.2,3582.4,false
0872-JCPIB,Male,false,false,false,17,true,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,false,Bank transfer (automatic),65.75,1111.2,false
7520-HQWJU,Female,false,true,true,66,true,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,true,Bank transfer (automatic),67.45,4508.65,false
2575-GFSOE,Female,false,true,true,7,true,No,Fiber optic,No,No,No,No,No,No,Month-to-month,true,Electronic check,69,506.9,true
5760-WRAHC,Female,true,false,false,22,true,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,true,Mailed check,69.75,1545.4,false
5442-BHQNG,Female,false,false,false,2,true,No,Fiber optic,No,No,No,No,No,No,Month-to-month,false,Electronic check,70.35,139.25,false
8270-RKSAP,Male,false,false,false,9,true,No,Fiber optic,No,No,No,No,No,No,Month-to-month,true,Electronic check,70.5,597.9,false
3295-YVUSR,Male,true,false,false,2,true,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,true,Mailed check,72.6,154.3,false
1907-UBQFC,Male,true,false,false,10,true,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,true,Electronic check,72.85,688.65,true
9274-CNFMO,Male,true,true,false,4,true,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,false,Electronic check,74.95,308.7,true
1989-PRJHP,Male,true,true,false,27,true,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,true,Electronic check,75.5,1893.95,true
0817-HSUSE,Male,false,false,false,1,true,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,true,Electronic check,75.5,75.5,false
3987-KQDDU,Male,false,false,false,9,true,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,false,Electronic check,75.6,661.55,false
7175-NTIXE,Female,false,false,false,25,true,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,true,Credit card (automatic),76.15,1992.95,false
4846-WHAFZ,Female,true,true,false,37,true,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,true,Electronic check,76.5,2868.15,true
2305-MRGLV,Male,false,true,false,28,true,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,false,Bank transfer (automatic),76.55,2065.4,false
3096-IZETN,Female,false,false,false,12,true,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,false,Bank transfer (automatic),78.1,947.3,true
9355-NPPFS,Female,true,false,false,26,true,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,true,Electronic check,78.8,2006.1,false
2070-XYMFH,Female,true,false,false,23,true,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,true,Mailed check,79.35,1835.3,false
5998-VVEJY,Male,false,false,false,26,true,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,true,Electronic check,80.5,2088.8,true
9625-QSTYE,Female,false,false,false,13,true,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,true,Electronic check,81.15,952.3,true
8436-BJUMM,Male,false,true,true,26,true,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,true,Electronic check,83.75,2070.6,true
0013-EXCHZ,Female,true,true,false,3,true,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,true,Mailed check,83.9,267.4,true
3865-ZYKAD,Male,true,true,false,69,true,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,true,Credit card (automatic),84.9,5785.65,false
2135-DQWAQ,Female,false,false,false,5,true,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,true,Mailed check,85.3,420.45,false
5277-ZLOOR,Female,true,false,false,2,true,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,true,Electronic check,85.55,187.45,true
0220-EBGCE,Male,false,false,false,2,true,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,true,Electronic check,85.85,167.3,true
5522-NYKPB,Male,false,true,true,25,true,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,false,Electronic check,85.9,2199.05,false
5419-KLXBN,Female,false,true,true,25,true,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,true,Bank transfer (automatic),89.15,2257.75,true
6233-HXJMX,Female,false,false,false,45,true,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,true,Credit card (automatic),89.3,4192.15,false
4112-LUEIZ,Male,false,false,false,10,true,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,true,Electronic check,89.5,863.1,true
9565-DJPIB,Female,false,false,true,4,true,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,false,Mailed check,89.6,365.65,true
1624-NALOJ,Male,true,false,false,5,true,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,true,Electronic check,89.8,502.6,true
9526-JAWYF,Male,false,false,false,26,true,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,false,Electronic check,89.8,2335.3,true
6267-DCFFZ,Female,true,true,false,30,true,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,true,Electronic check,90.05,2627.2,false
7928-VJYAB,Male,false,true,true,11,true,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,false,Electronic check,90.6,1020.2,false
6173-GOLSU,Male,true,true,false,67,true,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,true,Credit card (automatic),94.65,6079,false
8393-DLHGA,Male,false,false,true,25,true,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,true,Electronic check,95.9,2448.75,true
3500-RMZLT,Female,true,false,false,15,true,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,true,Mailed check,96.3,1426.75,true
4735-ASGMA,Male,false,false,false,26,true,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,true,Electronic check,98.35,2515.3,true
9305-CDSKC,Female,false,false,false,8,true,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,true,Electronic check,99.65,820.5,true
8634-MPHTR,Male,true,true,false,47,true,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,true,Electronic check,100.05,4871.05,true
8384-FZBJK,Female,false,true,true,57,true,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,true,Electronic check,100.6,5611.7,false
5419-JPRRN,Male,false,false,false,1,true,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,true,Electronic check,101.45,101.45,true
8118-TJAFG,Male,false,true,true,9,true,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,true,Electronic check,101.5,906.85,false
4188-FRABG,Male,false,true,false,57,true,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,true,Electronic check,103.05,5925.75,false
3001-UNBTL,Male,true,true,true,29,true,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,true,Electronic check,103.95,2964.8,false
2378-VTKDH,Male,true,true,false,65,true,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,true,Electronic check,104.35,6578.55,false
6496-SLWHQ,Male,true,false,false,3,true,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,true,Electronic check,105,294.45,true
6377-WHAOX,Female,false,true,false,60,true,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,true,Electronic check,106.15,6411.25,false
2027-FECZV,Male,false,false,false,12,true,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,true,Electronic check,106.7,1253.9,true
7537-CBQUZ,Male,true,false,false,63,true,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,true,Bank transfer (automatic),109.4,7031.45,false
6823-SIDFQ,Male,false,false,false,28,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,false,Credit card (automatic),18.25,534.7,false
6729-FZWSY,Male,false,false,false,67,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,true,Mailed check,19.45,1195.95,false
5562-BETPV,Male,false,true,true,1,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,false,Mailed check,19.65,19.65,false
7677-SJJJK,Male,false,true,true,8,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,false,Credit card (automatic),19.9,153.95,false
2690-DVRVK,Male,false,true,true,5,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,false,Electronic check,20.55,99.45,false
4933-IKULF,Female,true,false,false,17,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,false,Mailed check,20.65,330.6,false
3251-YMVWZ,Male,false,false,false,53,true,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,false,Bank transfer (automatic),24.05,1301.9,false
4702-HDRKD,Male,false,false,false,67,false,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,One year,true,Bank transfer (automatic),49.35,3321.35,false
3926-YZVVX,Female,false,false,false,41,true,No,DSL,No,No,No,Yes,No,No,One year,false,Bank transfer (automatic),50.05,2029.05,false
6195-MELTI,Male,false,false,false,57,true,No,DSL,No,Yes,No,Yes,No,No,One year,true,Mailed check,54.65,3134.7,false
5944-UGLLK,Male,false,false,false,53,false,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,false,Credit card (automatic),54.9,3045.75,false
2746-DIJLO,Female,false,false,false,41,true,Yes,DSL,No,Yes,No,No,No,No,One year,true,Credit card (automatic),56.3,2364,false
2150-WLKUW,Female,false,true,false,40,true,Yes,DSL,No,Yes,No,No,Yes,No,One year,false,Bank transfer (automatic),63.9,2635,false
3468-DRVQJ,Female,false,true,true,10,true,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,false,Electronic check,70.3,676.15,false
2577-GVSIL,Male,false,true,true,35,true,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,true,Bank transfer (automatic),73.45,2661.1,false
7163-OCEQI,Male,false,true,true,22,true,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,true,Mailed check,78.65,1663.75,false
4522-XRWWI,Male,false,true,false,42,true,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,false,Credit card (automatic),80.45,3375.9,false
0083-PIVIK,Male,false,false,false,64,true,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,false,Electronic check,81.25,5567.55,false
6840-RESVB,Male,false,true,true,24,true,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,true,Mailed check,84.8,1990.5,false
6874-SGLHU,Male,false,false,false,30,true,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,true,Bank transfer (automatic),97,3021.3,false
2924-KHUVI,Male,false,true,false,56,true,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,true,Electronic check,100.55,5514.95,false
0580-PIQHM,Female,false,true,true,41,true,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,true,Bank transfer (automatic),101.6,3930.55,false
2560-PPCHE,Female,false,false,false,65,true,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,true,Bank transfer (automatic),105.05,6744.25,false
5469-CTCWN,Male,false,true,true,61,true,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,true,Electronic check,106,6547.7,true
5056-FIMPT,Female,false,false,true,43,true,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,true,Credit card (automatic),106,4532.3,false
5067-XJQFU,Male,true,true,true,66,true,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,true,Electronic check,108.45,7076.35,false
7632-MNYOY,Male,true,false,false,66,true,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,false,Credit card (automatic),110.9,7432.05,true
8199-ZLLSA,Male,false,false,false,67,true,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,true,Bank transfer (automatic),118.35,7804.15,true
4635-EJYPD,Male,false,true,true,32,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,false,Mailed check,18.95,613.95,false
3764-MNMOI,Male,false,false,false,46,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,false,Credit card (automatic),19.2,908.15,false
0206-OYVOC,Female,false,true,true,46,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,true,Mailed check,19.25,864.2,false
4452-ROHMO,Female,false,false,false,15,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,false,Mailed check,19.6,331.6,false
9150-KPBJQ,Female,false,false,false,6,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,false,Credit card (automatic),19.65,116.85,false
5529-GIBVH,Female,false,false,false,47,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,false,Mailed check,20.15,1046.2,false
7033-CLAMM,Female,false,true,true,48,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,false,Bank transfer (automatic),20.2,1027.25,false
8838-GPHZP,Female,false,false,false,63,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,true,Mailed check,20.6,1298.7,false
1555-HAPSU,Female,false,true,true,71,true,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,false,Credit card (automatic),23.9,1663.5,false
3027-YNWZU,Female,false,true,false,64,true,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,false,Credit card (automatic),25,1584.8,false
6976-BWGLQ,Female,false,true,true,72,true,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,false,Bank transfer (automatic),25.2,1787.35,false
9337-SRRNI,Male,false,false,true,66,true,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,true,Credit card (automatic),25.3,1673.8,false
4940-KHCWD,Female,false,true,false,60,false,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,false,Bank transfer (automatic),37.7,2288.7,false
7321-ZNSLA,Male,false,true,true,13,false,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,false,Mailed check,40.55,590.35,false
4854-SSLTN,Male,false,true,true,2,true,No,DSL,Yes,Yes,No,Yes,No,No,Two year,false,Mailed check,59.5,130.5,false
6762-QVYJO,Female,false,true,true,58,false,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,false,Mailed check,59.75,3624.35,false
9281-CEDRU,Female,false,true,false,68,true,No,DSL,No,Yes,No,Yes,Yes,No,Two year,false,Bank transfer (automatic),64.1,4326.25,false
3533-UVMOM,Male,false,true,false,68,true,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,false,Bank transfer (automatic),70.95,4741.45,false
3902-MIVLE,Male,false,true,true,63,true,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,false,Mailed check,75.7,4676.7,false
2234-EOFPT,Male,false,true,false,72,true,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,true,Bank transfer (automatic),79.35,5753.25,false
4900-MSOMT,Female,false,true,true,72,true,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,false,Bank transfer (automatic),80.2,5714.2,false
6418-HNFED,Male,false,true,false,51,true,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,true,Credit card (automatic),83.25,4089.45,false
2990-OGYTD,Female,false,true,false,67,true,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,false,Bank transfer (automatic),86.15,5883.85,false
6900-RBKER,Male,false,false,false,52,true,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,true,Credit card (automatic),89.45,4577.75,false
2863-IMQDR,Female,false,false,false,61,true,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,false,Electronic check,89.65,5308.7,false
5248-RPYWW,Female,true,true,true,72,true,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,true,Bank transfer (automatic),90.15,6716.45,false
5248-YGIJN,Male,false,true,false,72,true,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,true,Credit card (automatic),90.25,6369.45,false
7710-JSYOA,Female,false,true,true,69,true,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,true,Bank transfer (automatic),93.3,6398.05,false
5375-XLDOF,Male,false,true,true,69,true,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,true,Bank transfer (automatic),114.35,7665.8,false
6445-TNRXS,Male,false,true,true,68,true,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,true,Bank transfer (automatic),114.7,7849.85,false
0017-IUDMW,Female,false,true,true,72,true,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,true,Credit card (automatic),116.8,8456.75,false
1098-TDVUQ,Female,false,false,false,1,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,true,Bank transfer (automatic),19.25,19.25,false
2096-XOTMO,Female,false,true,true,16,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,false,Mailed check,19.35,275.9,false
0594-UFTUL,Male,false,true,true,13,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,true,Mailed check,19.85,252,false
5144-PQCDZ,Male,false,false,false,4,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,true,Mailed check,19.95,59.25,false
6476-EPYZR,Male,false,true,true,12,true,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,false,Mailed check,20.5,255.5,false
9638-JIQYA,Male,false,false,false,2,false,No phone service,DSL,No,No,No,No,No,No,Month-to-month,true,Credit card (automatic),24.9,49.7,false
4815-GBTCD,Female,false,true,false,4,false,No phone service,DSL,No,No,No,No,No,No,Month-to-month,true,Electronic check,25.15,99.95,false
6791-YBNAK,Male,false,true,true,18,false,No phone service,DSL,No,No,No,No,No,No,Month-to-month,false,Credit card (automatic),25.55,467.85,false
2712-SYWAY,Female,false,false,false,1,true,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,true,Electronic check,25.7,25.7,false
2683-JXWQQ,Male,false,true,true,61,false,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,false,Bank transfer (automatic),33.6,2117.2,false
3694-DELSO,Male,false,true,true,4,false,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,false,Credit card (automatic),38.55,156.1,false
8720-RQSBJ,Male,true,false,false,1,true,No,DSL,No,No,No,No,No,No,Month-to-month,false,Electronic check,44,44,false
8180-AKMJV,Female,false,false,false,1,true,No,DSL,No,No,No,No,No,No,Month-to-month,true,Credit card (automatic),44.55,44.55,false
5077-DXTCG,Female,false,false,false,1,true,No,DSL,No,No,No,No,No,No,Month-to-month,true,Electronic check,45.3,45.3,true
4061-UKJWL,Male,false,false,false,3,true,No,DSL,No,No,No,No,No,No,Month-to-month,false,Mailed check,45.45,141.7,false
7109-MFBYV,Male,false,false,false,26,true,No,DSL,No,No,No,No,No,No,Month-to-month,false,Electronic check,45.45,1233.15,false
7377-DMMRI,Male,false,false,false,2,true,No,DSL,Yes,No,No,No,No,No,Month-to-month,true,Electronic check,47.8,92.45,true
9820-RMCQV,Female,false,false,false,11,true,No,DSL,Yes,No,No,No,No,No,Month-to-month,false,Credit card (automatic),48.55,501,true
5307-UVGNB,Female,false,true,true,53,false,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,true,Bank transfer (automatic),48.7,2495.2,false
7742-MYPGI,Female,false,true,true,6,true,No,DSL,No,No,No,Yes,No,No,Month-to-month,true,Mailed check,48.8,297.35,false
2625-TRCZQ,Female,false,true,false,51,false,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,true,Electronic check,49.65,2553.35,false
3794-NFNCH,Male,false,true,false,30,true,No,DSL,No,No,Yes,No,No,No,Month-to-month,true,Mailed check,50,1474.9,false
5366-OBVMR,Female,false,true,false,18,true,No,DSL,No,No,No,Yes,No,No,Month-to-month,true,Mailed check,50.3,908.75,false
9058-CBREO,Female,true,false,false,1,true,Yes,DSL,No,No,No,No,No,No,Month-to-month,false,Mailed check,50.55,50.55,true
2108-YKQTY,Female,false,false,false,4,true,No,DSL,No,Yes,No,No,No,No,Month-to-month,false,Credit card (automatic),50.7,151.3,true
2969-QWUBZ,Female,false,false,false,2,false,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,false,Electronic check,51.4,96.8,false
9881-VCZEP,Female,false,true,false,25,true,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,false,Electronic check,54.1,1373,false
5402-HTOTQ,Male,false,false,false,16,true,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,false,Electronic check,55.3,875.35,false
4324-BZCKL,Female,false,true,true,10,true,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,true,Mailed check,55.55,551.3,false
3038-PQIUY,Female,false,false,false,38,true,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,true,Bank transfer (automatic),66.15,2522.4,false
1373-ORVIZ,Female,false,true,true,11,true,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,true,Electronic check,66.35,740.8,true
8120-JDCAM,Male,false,true,true,4,true,No,Fiber optic,No,No,No,No,No,No,Month-to-month,true,Mailed check,69.55,284.9,false
6429-SHBCB,Male,false,false,false,19,true,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,false,Mailed check,69.6,1394.55,false
9237-HQITU,Female,false,false,false,2,true,No,Fiber optic,No,No,No,No,No,No,Month-to-month,true,Electronic check,70.7,151.65,true
4116-TZAQJ,Female,false,false,false,9,true,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,true,Credit card (automatic),74.25,639.65,true
8640-SDGKB,Male,false,false,false,4,true,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,true,Electronic check,74.4,299.7,true
6022-UGGSO,Female,true,false,false,32,true,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,true,Electronic check,74.4,2276.95,true
1228-ZLNBX,Male,false,false,false,21,true,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,false,Mailed check,75.3,1570.7,false
7072-MBHEV,Female,true,true,true,11,true,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,true,Credit card (automatic),78.1,864.85,false
